num,name_pt,name_zh,cas,ec
135,7 – [2 - Hidroxi – 3-( N - (2 – hidroxietil) - N – metilamino) propil] teofilina  (Xantinol),7-[2-羟基-3-(N-(2-羟乙基)-N-甲基氨基)丙基]茶碱（占替诺）,2530-97-4,-
136,Dioxetedrina* e seus sais,*地索奈德及其盐,497-75-6,207-849-8
137,Iodeto de piprocurário *,*哌库溴铵,3562-55-8,222-627-0
138,Propifenazona*,*异丙安替比林,479-92-5,207-539-2
139,Tetrabenazina* e seus sais,*四苯喹嗪及其盐,58-46-8,200-383-6
140,Captodiamo*,*卡普托胺,486-17-9,207-629-1
141,Mefeclorazina* e seus sais,*美非氯嗪及其盐,1243-33-0,-
142,Dimetilamina,二甲胺,124-40-3,204-697-4
143,"Benzoato de 1, 1 – Bis- (dimetilaminometil) propila  (amidricaína, alipina) e seus sais",1,963-07-5,213-512-6
144,Metapirileno* e seus sais,*美吡拉敏及其盐,91-80-5,202-099-8
145,Metanfepramona* e seus sais,*美非泼拉蒙及其盐,15351-09-4,239-384-1
146,Amitriptilina* e seus sais,*阿米替林及其盐,50-48-6,200-041-6
147,Metformina* e seus sais,*二甲双胍及其盐,657-24-9,211-517-8
148,Dinitrato de Isossorbida*,*硝酸异山梨酯,87-33-2,201-740-9
149,Malononitrila,丙二腈,109-77-3,203-703-2
150,Succinonitrila,丁二腈,110-61-2,203-783-9
152,Inproquona*,*英普罗喹,436-40-8,-
153,Dimevamida* e seus sais,*地美戊胺及其盐,60-46-8,200-479-8
154,Difenilpiralina* e seus sais,*二苯拉林及其盐,147-20-6,205-686-7
155,Sulfinpirazona*,*硫辛唑酮,57-96-5,200-357-4
156,"Sais de N - (3 - Carbamoil - 3, 3 - difenilpropil) - N, N - diisopropilmetilamônio,  por exemplo iodeto de isopropamida*","N-(3-氨甲酰-3,3-二苯基丙基)-N,N-二异丙基甲基铵盐，如*异丙溴铵",71-81-8,200-766-8
157,Benactizina*,*贝那替秦,302-40-9,206-123-8
158,Benzatropina* e seus sais,*苯扎托品及其盐,86-13-5,-
159,Ciclizina * e seus sais,*赛克力嗪及其盐,82-92-8,201-445-5
160,"5, 5 - Difenil - 4 – imidazolidona",5,3254-93-1,221-851-6
161,Probenecida*,*丙磺舒,57-66-9,200-344-3
163,"Emetina, seus sais e derivados",依米丁、其盐及衍生物,483-18-1,207-592-1
164,Efedrina e seus sais,麻黄碱及其盐,299-42-3,206-080-5
165,Oxanamida* e seus derivados,*奥沙那胺及其衍生物,126-93-2,-
166,Eserina ou fisoestigmina e seus sais,毒扁豆碱（physostigmine）及其盐,57-47-6,200-332-8
167,"Ésteres do ácido 4 - aminobenzóico, com o grupo amino livres, com exceção dos mencionados em outras listas de substâncias",4-氨基苯甲酸酯（氨基游离型，其他列表另有规定的除外）,-,-
168,Ésteres da Colina e da metilcolina e seus sais exceto Lecitina,胆碱及甲基胆碱酯及其盐（卵磷脂除外）,67-48-1,200-655-4
169,Caramifeno* e seus sais,*卡拉美芬及其盐,77-22-5,201-013-6
170,Fosfato de dietila 4-nitrofenila,4-硝基苯基磷酸二乙酯,311-45-5,206-221-0
171,Metetoheptazina* e seus sais,*美托庚嗪及其盐,509-84-2,-
172,Oxifeneridina* e seus sais,*奥昔芬里定及其盐,546-32-7,-
173,Etoheptazina* e seus sais,*乙托庚嗪及其盐,77-15-6,201-007-3
174,Meteptazina* e seus sais,*美托哌嗪及其盐,469-78-3,-
175,Metilfenidato* e seus sais,*哌甲酯及其盐,113-45-1,204-028-6
176,Doxilamina* e seus sais,*多西拉敏及其盐,469-21-6,207-414-2
177,Tolboxano*,*妥布沙酮,2430-46-8,-
178,"4 – Benziloxifenol, 4 - metoxifenol e 4 – etoxifeno 103-16-2 / 150-76- 5/ 622-62-8 203-083-3/",4-苄氧基苯酚、4-甲氧基苯酚、4-乙氧基苯酚,205-,-
179,Paretoxicaína * e seus sais,*对乙氧卡因及其盐,94-23-5,205-246-4
180,Fenozolona*,*芬诺唑酮,15302-16-6,239-339-6
181,Glutetimida* e seus sais,*格鲁米特及其盐,77-21-4,201-012-0
182,Óxido de etileno,环氧乙烷,75-21-8,200-849-9
183,Bemegrida* e seus sais,*贝美格及其盐,64-65-3,200-588-0
184,Valnoctamida*,*戊诺酰胺,4171-13-5,224-033-7
185,Haloperidol*,*氟哌啶醇,52-86-8,200-155-6
186,Parametasona*,*帕拉米松,53-33-8,200-169-2
187,Fluanisona*,*氟阿尼酮,1480-19-9,216-038-8
188,Trifluperidol*,*三氟哌多,749-13-3,-
189,Fluoresona*,*氟罗沙酮,2924-67-6,220-889-0
190,Fluorouracil*,*氟尿嘧啶,51-21-8,200-085-6
191,"Ácido fluorídrico, seus sais normais, seus complexos e hidrofluoretos com exceção dos mencionados em outras listas de substâncias",氢氟酸、正盐、络合物及氟氢酸盐（其他列表另有规定的除外）,7664-39-3,231-634-8
192,"Sais de furfuriltrimetilamônio, exemplo  iodeto de furtretônio*",糠基三甲铵盐，如*呋喃铵碘化物,541-64-0,208-789-5
193,Galantamina*,*加兰他敏,357-70-0,-
194,Progestogênios,孕激素类,-,-
195,"1, 2, 3, 4, 5, 6 - Hexaclorociclohexano (HCH - ISO)",1,58-89-9,200-401-2
196,"(1R, 4S, 5R, 8S) - 1, 2, 3 ,4, 10, 10 - Hexacloro – 6,7-epoxi-1, 4, 4a, 5, 6, 7, 8, 8a -octahidro – 1, 4:5, 8 - dimetanonaftaleno (endrim-ISO)",(1R,72-20-8,200-775-7
197,Hexacloroetano,六氯乙烷,67-72-1,200-666-4
198,"(1R, 4S, 5R, 8S) - 1, 2, 3, 4, 10, 10 - Hexacloro - 1, 4, 4a, 5, 8, 8a - hexahidro - 1, 4:5, 8 - dimetanonaftaleno (isodrim - ISO)",(1R,465-73-6,207-366-2
200,Hidrazidas e seus sais,酰肼及其盐,54-85-3,200-214-6
201,"Hidrazina, seus derivados e seus sais",肼、其衍生物及盐,302-01-2,206-114-9
202,Octamoxina* e seus sais,*奥他莫辛及其盐,4684-87-1,-
203,Warfarin* e seus sais,*华法林及其盐,81-81-2,201-377-6
204,Acetato de Etil bis (4 - hidroxi - 2 - oxo - 1 - benzopiran - 3 - ila) e sais do ácido,双(4-羟基-2-氧代-1-苯并吡喃-3-基)乙酸乙酯及其盐,548-00-5,208-940-5
