num,name_pt,name_zh,cas,ec,notes
124,"Sais de N,N'-hexametilenobis (trimetilamônio), por exemplo brometo de hexametônio*","N,N'-六亚甲基双(三甲铵)盐，如*己铵溴化物",55-97-0,200-249-7,
125,"Dicloroetanos (cloretos de etileno) por exemplo 1,2-dicloroetano",二氯乙烷（氯化乙烯），如1,2-二氯乙烷,107-06-2,203-458-1,
126,"Dicloroetilenos (cloretos de acetileno), por exemplo cloreto de vinilideno (1,1-dicloroetileno)",二氯乙烯（氯化乙炔），如偏二氯乙烯（1,1-二氯乙烯）,75-35-4,200-864-0,
127,Lisérgida* e seus sais,*麦角酰胺及其盐,50-37-3,200-033-2,
128,2 – dietilaminoetil 3 - hidroxi - 4 - fenilbenzoato e seus sais,2-二乙氨基乙基-3-羟基-4-苯基苯甲酸酯及其盐,3572-52-9,222-686-2,
129,Cinchocaína* e seus sais,*辛可卡因及其盐,85-79-0,201-632-1,
130,Cinamato de 3 – dietilaminopropila,3-二乙氨基丙基肉桂酸酯,538-66-9,-,
131,"Fosforotioato de o,o' – dietila – o – 4 – nitrofenila (Paratião - ISO)",O,O'-二乙基-O-4-硝基苯基硫代磷酸酯（对硫磷-ISO）,56-38-2,200-271-7,
132,"Sais de [Oxalilbis (iminoetileno)] bis [(o- clorobenzil) dietilamônio], por exemplo  Cloreto de Ambenônio*","[草酰双(亚氨基乙烯)]双[(邻氯苄基)二乙基铵]盐，如*安贝氯铵",115-79-7,204-107-5,
133,Metiprilona* e seus sais,*甲乙哌酮及其盐,125-64-4,204-745-4,
134,Digitalina e todos os heterosídeos da Digitalis purpurea L.,洋地黄毒苷及毛花洋地黄（Digitalis purpurea L.）所有苷类,752-61-4,212-036-6,
135,7 – [2 - Hidroxi – 3-( N - (2 – hidroxietil) - N – metilamino) propil] teofilina  (Xantinol),7-[2-羟基-3-(N-(2-羟乙基)-N-甲基氨基)丙基]茶碱（占替诺）,2530-97-4,-,
136,Dioxetedrina* e seus sais,*地索奈德及其盐,497-75-6,207-849-8,
137,Iodeto de piprocurário *,*哌库溴铵,3562-55-8,222-627-0,
138,Propifenazona*,*异丙安替比林,479-92-5,207-539-2,
139,Tetrabenazina* e seus sais,*四苯喹嗪及其盐,58-46-8,200-383-6,
140,Captodiamo*,*卡普托胺,486-17-9,207-629-1,
141,Mefeclorazina* e seus sais,*美非氯嗪及其盐,1243-33-0,-,
142,Dimetilamina,二甲胺,124-40-3,204-697-4,
143,"Benzoato de 1, 1 – Bis- (dimetilaminometil) propila  (amidricaína, alipina) e seus sais",1,1-双(二甲氨基甲基)丙基苯甲酸酯（阿米卡因、阿利平）及其盐,963-07-5,213-512-6,
144,Metapirileno* e seus sais,*美吡拉敏及其盐,91-80-5,202-099-8,
145,Metanfepramona* e seus sais,*美非泼拉蒙及其盐,15351-09-4,239-384-1,
146,Amitriptilina* e seus sais,*阿米替林及其盐,50-48-6,200-041-6,
147,Metformina* e seus sais,*二甲双胍及其盐,657-24-9,211-517-8,
148,Dinitrato de Isossorbida*,*硝酸异山梨酯,87-33-2,201-740-9,
149,Malononitrila,丙二腈,109-77-3,203-703-2,
150,Succinonitrila,丁二腈,110-61-2,203-783-9,
152,Inproquona*,*英普罗喹,436-40-8,-,
153,Dimevamida* e seus sais,*地美戊胺及其盐,60-46-8,200-479-8,
154,Difenilpiralina* e seus sais,*二苯拉林及其盐,147-20-6,205-686-7,
155,Sulfinpirazona*,*硫辛唑酮,57-96-5,200-357-4,
156,"Sais de N - (3 - Carbamoil - 3, 3 - difenilpropil) - N, N - diisopropilmetilamônio,  por exemplo iodeto de isopropamida*","N-(3-氨甲酰-3,3-二苯基丙基)-N,N-二异丙基甲基铵盐，如*异丙溴铵",71-81-8,200-766-8,
157,Benactizina*,*贝那替秦,302-40-9,206-123-8,
158,Benzatropina* e seus sais,*苯扎托品及其盐,86-13-5,-,
159,Ciclizina * e seus sais,*赛克力嗪及其盐,82-92-8,201-445-5,
160,"5, 5 - Difenil - 4 – imidazolidona",5,5-二苯基-4-咪唑啉酮,3254-93-1,221-851-6,
161,Probenecida*,*丙磺舒,57-66-9,200-344-3,
163,"Emetina, seus sais e derivados",依米丁、其盐及衍生物,483-18-1,207-592-1,
164,Efedrina e seus sais,麻黄碱及其盐,299-42-3,206-080-5,
165,Oxanamida* e seus derivados,*奥沙那胺及其衍生物,126-93-2,-,
166,Eserina ou fisoestigmina e seus sais,毒扁豆碱（physostigmine）及其盐,57-47-6,200-332-8,
167,"Ésteres do ácido 4 - aminobenzóico, com o grupo amino livres, com exceção dos mencionados em outras listas de substâncias",4-氨基苯甲酸酯（氨基游离型，其他列表另有规定的除外）,-,-,
168,Ésteres da Colina e da metilcolina e seus sais exceto Lecitina,胆碱及甲基胆碱酯及其盐（卵磷脂除外）,67-48-1,200-655-4,
169,Caramifeno* e seus sais,*卡拉美芬及其盐,77-22-5,201-013-6,
170,Fosfato de dietila 4-nitrofenila,4-硝基苯基磷酸二乙酯,311-45-5,206-221-0,
171,Metetoheptazina* e seus sais,*美托庚嗪及其盐,509-84-2,-,
172,Oxifeneridina* e seus sais,*奥昔芬里定及其盐,546-32-7,-,
173,Etoheptazina* e seus sais,*乙托庚嗪及其盐,77-15-6,201-007-3,
174,Meteptazina* e seus sais,*美托哌嗪及其盐,469-78-3,-,
175,Metilfenidato* e seus sais,*哌甲酯及其盐,113-45-1,204-028-6,
176,Doxilamina* e seus sais,*多西拉敏及其盐,469-21-6,207-414-2,
177,Tolboxano*,*妥布沙酮,2430-46-8,-,
178,"4 – Benziloxifenol, 4 - metoxifenol e 4 – etoxifeno 103-16-2 / 150-76- 5/ 622-62-8 203-083-3/",4-苄氧基苯酚、4-甲氧基苯酚、4-乙氧基苯酚,103-16-2/150-76-5/622-62-8,203-083-3/,
179,Paretoxicaína * e seus sais,*对乙氧卡因及其盐,94-23-5,205-246-4,
180,Fenozolona*,*芬诺唑酮,15302-16-6,239-339-6,
181,Glutetimida* e seus sais,*格鲁米特及其盐,77-21-4,201-012-0,
182,Óxido de etileno,环氧乙烷,75-21-8,200-849-9,
183,Bemegrida* e seus sais,*贝美格及其盐,64-65-3,200-588-0,
184,Valnoctamida*,*戊诺酰胺,4171-13-5,224-033-7,
185,Haloperidol*,*氟哌啶醇,52-86-8,200-155-6,
186,Parametasona*,*帕拉米松,53-33-8,200-169-2,
187,Fluanisona*,*氟阿尼酮,1480-19-9,216-038-8,
188,Trifluperidol*,*三氟哌多,749-13-3,-,
189,Fluoresona*,*氟罗沙酮,2924-67-6,220-889-0,
190,Fluorouracil*,*氟尿嘧啶,51-21-8,200-085-6,
191,"Ácido fluorídrico, seus sais normais, seus complexos e hidrofluoretos com exceção dos mencionados em outras listas de substâncias",氢氟酸、正盐、络合物及氟氢酸盐（其他列表另有规定的除外）,7664-39-3,231-634-8,
192,"Sais de furfuriltrimetilamônio, exemplo  iodeto de furtretônio*",糠基三甲铵盐，如*呋喃铵碘化物,541-64-0,208-789-5,
193,Galantamina*,*加兰他敏,357-70-0,-,
194,Progestogênios,孕激素类,-,-,
195,"1, 2, 3, 4, 5, 6 - Hexaclorociclohexano (HCH - ISO)",1,2,3,4,5,6-六氯环己烷（六六六-ISO）,58-89-9,200-401-2,
196,"(1R, 4S, 5R, 8S) - 1, 2, 3 ,4, 10, 10 - Hexacloro – 6,7-epoxi-1, 4, 4a, 5, 6, 7, 8, 8a -octahidro – 1, 4:5, 8 - dimetanonaftaleno (endrim-ISO)",(1R,4S,5R,8S)-1,2,3,4,10,10-六氯-6,7-环氧-1,4,4a,5,6,7,8,8a-八氢-1,4:5,8-二甲桥萘（异狄氏剂-ISO）,72-20-8,200-775-7,
197,Hexacloroetano,六氯乙烷,67-72-1,200-666-4,
198,"(1R, 4S, 5R, 8S) - 1, 2, 3, 4, 10, 10 - Hexacloro - 1, 4, 4a, 5, 8, 8a - hexahidro - 1, 4:5, 8 - dimetanonaftaleno (isodrim - ISO)",(1R,4S,5R,8S)-1,2,3,4,10,10-六氯-1,4,4a,5,8,8a-六氢-1,4:5,8-二甲桥萘（异狄氏剂-ISO）,465-73-6,207-366-2,
200,Hidrazidas e seus sais,酰肼及其盐,54-85-3,200-214-6,
201,"Hidrazina, seus derivados e seus sais",肼、其衍生物及盐,302-01-2,206-114-9,
202,Octamoxina* e seus sais,*奥他莫辛及其盐,4684-87-1,-,
203,Warfarin* e seus sais,*华法林及其盐,81-81-2,201-377-6,
204,Acetato de Etil bis (4 - hidroxi - 2 - oxo - 1 - benzopiran - 3 - ila) e sais do ácido,双(4-羟基-2-氧代-1-苯并吡喃-3-基)乙酸乙酯及其盐,548-00-5,208-940-5,
205,Metocarbamol*,*美索巴莫,532-03-6,208-524-3,
206,Propatilnitrato*,*丙帕硝酯,2921-92-8,220-866-5,
207,"4, 4' - Dihidroxi - 3, 3' - (3 - metiltiopropilideno) dicumarina",4,4'-二羟基-3,3'-(3-甲硫基亚丙基)双香豆素,-,-,
208,Fenadiazol*,*芬那唑,1008-65-7,-,
209,Nitroxolina* e seus sais,*硝羟喹啉及其盐,4008-48-4,223-662-4,
210,"Hiosciamina, seus sais e derivados",莨菪碱、其盐及衍生物,101-31-5,202-933-0,
211,"Hyoscyamus niger L. (folhas, sementes, pó e preparações galênicas)",天仙子（Hyoscyamus niger L.，叶、种子、粉末及植物制剂）,84603-65-6,283-265-7,
212,Pemolina* e seus sais,*匹莫林及其盐,2152-34-3,218-438-8,
213,"Iodo elementar, como por exemplo PVPI",单质碘（如聚维酮碘）,7553-56-2,231-442-4,
214,exemplo brometo de decametônio*,*十甲铵溴化物,541-22-0,208-772-2,
216,(2 – Isopropilpenta - 4 - enoil) uréia (apronalida),2-异丙基戊-4-烯酰脲（阿普隆）,528-92-7,208-443-3,
218,Lobelia inflata L. e suas preparações galênicas,半边莲（Lobelia inflata L.）及其植物制剂,84696-23-1,283-642-6,
219,Lobelina* e seus sais,*山梗菜碱及其盐,90-69-7,202-012-3,
220,Barbitúricos,巴比妥类,-,-,
221,"Mercúrio e seus compostos, exceto aqueles casos especiais mencionados em outras listas de substâncias",汞及其化合物（其他列表另有规定的特殊情况除外）,7439-97-6,231-106-7,
222,"3, 4, 5 - Trimetoxifenetilamina (mescalina) e seus sais",3,4,5-三甲氧基苯乙胺（麦司卡林）及其盐,54-04-6,200-190-7,
223,Metaldeído,多聚乙醛,9002-91-9,-,
224,"2 - (4 - Alil - 2 - metoxifenoxi) - N, N - dietilacetamida e seus sais",2-(4-烯丙基-2-甲氧基苯氧基)-N,N-二乙基乙酰胺及其盐,305-13-5,-,
225,Cumetarol*,*香豆塔醇,4366-18-1,224-455-1,
226,Dextrometorfano* e seus sais,*右美沙芬及其盐,125-71-3,204-752-2,
227,2 - Metilheptilamina e seus sais,2-甲基庚胺及其盐,540-43-2,-,
228,Isometapteno* e seus sais,*异美普汀及其盐,503-01-5,207-959-6,
229,Mecamilamina*,*美加明,60-40-2,200-476-1,
230,Guaifenesina*,*愈创甘油醚,93-14-1,202-222-5,
231,Dicumarol*,*双香豆素,66-76-2,200-632-9,
232,"Fenmetrazina*, seus sais e derivados",*苯甲曲秦、其盐及衍生物,134-49-6,205-143-4,
233,Tiamazol*,*甲巯咪唑,60-56-0,200-482-4,
235,Carisoprodol*,*卡立普多,78-44-4,201-118-7,
236,Meprobamato*,*甲丙氨酯,57-53-4,200-337-5,
237,Tefazolina* e seus sais,*替法唑啉及其盐,1082-56-0,-,
238,Arecolina,槟榔碱,63-75-2,200-565-5,
239,Metilsulfato de Poldine*,*波尔定甲硫酸盐,545-80-2,208-894-6,
240,Hidroxizina*,*羟嗪,68-88-2,200-693-1,
241,2 – Naftol,2-萘酚,135-19-3,205-182-7,
243,3 - (1 - Naftil) - 4 - hidroxicumarina,3-(1-萘基)-4-羟基香豆素,39923-41-6,-,
244,Nafazolina* e seus sais,*萘甲唑啉及其盐,835-31-4,212-641-5,
245,"Neoestigmina e seus sais, por exemplo brometo de neoestigmina*",新斯的明及其盐，如*溴新斯的明,114-80-7,204-054-8,
246,Nicotina e seus sais,烟碱及其盐,54-11-5,200-193-3,
247,Nitritos de Amila,亚硝酸异戊酯,110-46-3,203-770-8,
248,"Nitritos Inorgânicos, com exceção do Nitrito de Sódio",无机亚硝酸盐（亚硝酸钠除外）,-,-,
249,Nitrobenzeno,硝基苯,98-95-3,202-716-0,
250,Nitrocresóis e seus sais de metais alcalinos,硝基甲酚及其碱金属盐,12167-20-3,-,
251,Nitrofurantoína*,*呋喃妥因,67-20-9,200-646-5,
252,Furazolidona*,*呋喃唑酮,67-45-8,200-653-3,
253,Nitroglicerina,硝酸甘油,55-63-0,200-240-8,
254,Acenocumarol*,*醋硝香豆素,152-72-7,205-807-3,
255,Ferrato alcalino de Pentacianonitrosilo (2-) ( Nitroprussiatos ),五氰亚硝酰合铁(II)酸盐（硝普盐）,14402-89-2,-,
256,"Nitrostilbenos, seus homólogos e seus derivados",硝基芪、同系物及衍生物,4003-94-5,223-653-5,
257,Noradrenalina e seus sais,去甲肾上腺素及其盐,51-41-2,200-096-6,
258,Noscapina* e seus sais,*那可丁及其盐,128-62-1,204-899-2,
259,Guanetidina* e seus sais,*胍乙啶及其盐,55-65-2,200-241-3,
260,Estrógenos,雌激素类,-,-,
261,Oleandrina,夹竹桃苷,465-16-7,207-361-5,
262,Clortalidona*,*氯噻酮,77-36-1,201-022-5,
264,Pentacloroetano,五氯乙烷,76-01-7,200-925-1,
265,Tetranitrato de Pentaeritritila*,*季戊四醇四硝酸酯,78-11-5,201-084-3,
266,Petricloral*,*五氯酚醛,78-12-6,-,
267,Octamilamina* e seus sais,*辛胺及其盐,502-59-0,207-947-0,
268,Ácido Pícrico,苦味酸,88-89-1,201-865-9,
269,Fenacemida*,*苯乙酰脲,63-98-9,200-570-2,
270,Difencloxazina*,*二苯克洛嗪,5617-26-5,-,
271,"2 - fenilindano - 1, 3 - diona (fenindiona)",2-苯基茚-1,3-二酮（苯茚二酮）,83-12-5,201-454-4,
272,Etilfenacemida (feneturida)*,乙基苯乙酰脲（芬尼妥）,90-49-3,201-998-2,
273,Fenprocumona*,*苯茚二酮,435-97-2,207-108-9,
274,Feniramidol*,*芬那米朵,553-69-5,209-044-7,
275,Triamtereno* e seus sais,*氨苯蝶啶及其盐,396-01-0,206-904-3,
276,Pirofosfato de Tetraetila,焦磷酸四乙酯,107-49-3,203-495-3,
277,Fosfato de Tritolila,磷酸三甲苯酯,1330-78-5,215-548-8,
278,Psilocibina*,*裸盖菇素,520-52-5,208-294-4,
279,Fósforo e fosfetos metálicos,磷及金属磷化物,7723-14-0,231-768-7,
280,Talidomida* e seus sais,*沙利度胺及其盐,50-35-1,200-031-1,
281,Physostigma venenosum Balf.,毒扁豆（Physostigma venenosum Balf.）,89958-15-6,289-638-0,
282,Picrotoxina,印防己毒素,124-87-8,204-716-6,
283,Pilocarpina e seus sais,毛果芸香碱及其盐,92-13-7,202-128-4,
